Instance Name; Schedule Type;FS;BFS;UFS;Run nr;Cmax;LinearStartDelay;Start Punctuality;Finish Punctuality
100j-100r-6m.ms;GreedyLoadBalancing;438;35;66;7;288,568074281284;2610,01179045781;0,98019801980198;0,99009900990099
100j-100r-6m.ms;GreedyLoadBalancing;438;35;66;8;284,029040578916;2443,97699324982;0,98019801980198;0,99009900990099
100j-100r-6m.ms;GreedyLoadBalancing;438;35;66;9;285,069280600827;2439,09705595524;0,98019801980198;1
100j-100r-6m.ms;Random;947;48;108,5;0;339;77,9925117625092;0,316831683168317;0,326732673267327
100j-100r-6m.ms;Random;947;48;108,5;1;339;19,0577468110519;0,099009900990099;0,108910891089109
100j-100r-6m.ms;Random;947;48;108,5;2;339;19,0083815322769;0,099009900990099;0,108910891089109
100j-100r-6m.ms;Random;947;48;108,5;3;351,872143313626;155,256895341558;0,98019801980198;0,99009900990099
100j-100r-6m.ms;Random;947;48;108,5;4;350,989526655432;75,8505803441716;0,98019801980198;0,99009900990099
100j-100r-6m.ms;Random;947;48;108,5;5;339;22,0111986151354;0,099009900990099;0,108910891089109
100j-100r-6m.ms;Random;947;48;108,5;6;339;19,9664200233695;0,099009900990099;0,108910891089109
100j-100r-6m.ms;Random;947;48;108,5;7;349,006595118573;137,413999018054;0,98019801980198;0,99009900990099
100j-100r-6m.ms;Random;947;48;108,5;8;339;21,2284547990235;0,099009900990099;0,108910891089109
100j-100r-6m.ms;Random;947;48;108,5;9;351,271647195044;126,933148384748;0,98019801980198;0,99009900990099
100j-250r-12m.ms;Rolling Machine Assignment;687;36;81;0;189,231017296135;92,4679554255533;0,99009900990099;1
100j-250r-12m.ms;Rolling Machine Assignment;687;36;81;1;189,320202920545;183,174621306128;0,99009900990099;1
100j-250r-12m.ms;Rolling Machine Assignment;687;36;81;2;186,561249529195;135,894562173041;0,99009900990099;1
100j-250r-12m.ms;Rolling Machine Assignment;687;36;81;3;185,216035250173;82,629015835985;0,99009900990099;0,99009900990099
100j-250r-12m.ms;Rolling Machine Assignment;687;36;81;4;185,929689819276;195,607123953337;0,99009900990099;0,99009900990099
100j-250r-12m.ms;Rolling Machine Assignment;687;36;81;5;186,87507840956;85,8424869884829;0,99009900990099;1
100j-250r-12m.ms;Rolling Machine Assignment;687;36;81;6;188,878741643637;122,325285818434;0,99009900990099;0,99009900990099
100j-250r-12m.ms;Rolling Machine Assignment;687;36;81;7;184,909042299766;92,5665102484453;0,99009900990099;1
100j-250r-12m.ms;Rolling Machine Assignment;687;36;81;8;183,859229260544;118,087096837481;0,99009900990099;0,99009900990099
100j-250r-12m.ms;Rolling Machine Assignment;687;36;81;9;187,942510553026;146,790436681077;0,99009900990099;0,99009900990099
100j-250r-12m.ms;GreedyLoadBalancing;732;46;107,5;0;186,880847003098;173,580020017154;0,98019801980198;1
100j-250r-12m.ms;GreedyLoadBalancing;732;46;107,5;1;184,261793812117;166,01273292047;0,98019801980198;1
100j-250r-12m.ms;GreedyLoadBalancing;732;46;107,5;2;186,435691490927;168,584724926357;0,98019801980198;0,99009900990099
100j-250r-12m.ms;GreedyLoadBalancing;732;46;107,5;3;184,816474814991;153,110530277768;0,98019801980198;0,99009900990099
100j-250r-12m.ms;GreedyLoadBalancing;732;46;107,5;4;187,778825785025;127,34742269633;0,98019801980198;0,99009900990099
100j-250r-12m.ms;GreedyLoadBalancing;732;46;107,5;5;191,561709258057;198,138082836227;0,98019801980198;1
100j-250r-12m.ms;GreedyLoadBalancing;732;46;107,5;6;187,721600155967;141,661638557806;0,98019801980198;0,99009900990099
